Ref,Val,Package,PosX,PosY,Rot,Side
"K94","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",196.000001,-108.000000,-90.000000,bottom
"K95","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",196.000001,-117.000000,-90.000000,bottom
"K96","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",196.000000,-126.000000,-90.000000,bottom
"C1","0.1uF","C_0603_1608Metric",201.500000,-135.000000,-90.000000,top
"C2","0.1uF","C_0603_1608Metric",201.500000,-140.000000,-90.000000,top
"C3","0.1uF","C_0603_1608Metric",71.834000,-136.128001,90.000000,top
"C4","0.1uF","C_0603_1608Metric",82.834000,-136.128001,90.000000,top
"C5","0.1uF","C_0603_1608Metric",93.834000,-136.128001,90.000000,top
"C6","0.1uF","C_0603_1608Metric",104.834000,-136.128001,90.000000,top
"C7","0.1uF","C_0603_1608Metric",115.834000,-136.128001,90.000000,top
"C8","0.1uF","C_0603_1608Metric",126.834000,-136.128001,90.000000,top
"C9","0.1uF","C_0603_1608Metric",137.834000,-136.128001,90.000000,top
"C10","0.1uF","C_0603_1608Metric",148.834000,-136.128001,90.000000,top
"C11","0.1uF","C_0603_1608Metric",159.834000,-136.128001,90.000000,top
"C12","0.1uF","C_0603_1608Metric",170.834000,-136.128001,90.000000,top
"C13","0.1uF","C_0603_1608Metric",181.834000,-136.128001,90.000000,top
"C14","0.1uF","C_0603_1608Metric",192.834000,-136.128001,90.000000,top
"J2","Conn_01x16","IDC-Header_2x08_P2.54mm_Horizontal",63.697500,-130.890000,180.000000,top
"J3","1847712","New_PhoenixContact_MC_1,5_12-GF-5.08_1x12_P5.08mm_Horizontal_ThreadedFlange_MountHole",127.580000,-89.932500,180.000000,top
"J4","1847712","New_PhoenixContact_MC_1,5_12-GF-5.08_1x12_P5.08mm_Horizontal_ThreadedFlange_MountHole",198.885000,-89.932500,180.000000,top
"J6","Conn_01x02","New_PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",59.932500,-97.515000,-90.000000,top
"JP1","Jumper_2_Bridged","R_0805_2012Metric",65.000000,-108.000000,90.000000,top
"JP2","Jumper_2_Bridged","R_0805_2012Metric",62.000000,-107.912500,90.000000,top
"JP3","Jumper_2_Bridged","R_0805_2012Metric",204.000000,-108.000000,90.000000,top
"JP4","Jumper_2_Bridged","R_0805_2012Metric",208.000000,-108.000000,90.000000,top
"JP5","Jumper_2_Bridged","R_0603_1608Metric",68.794227,-136.118808,90.000000,top
"JP6","Jumper_2_Bridged","R_0603_1608Metric",70.294227,-136.118808,90.000000,top
"K1","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",75.000000,-99.000000,-90.000000,top
"K2","AGQ200S12Z","Relay_2P2T_10x6mm_TE_IMxxG",75.000000,-108.000000,-90.000000,top
